Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Geovany Soto,25,141,563,494,66,141,35,2,23,86,0,1,62,121,0.285,0.364,0.504,0.868,119,249,11,2,0,5,6
2,1B,Derrek Lee,32,155,698,623,93,181,41,3,20,90,8,2,71,119,0.291,0.361,0.462,0.823,109,288,27,0,0,4,3
3,2B,Mark DeRosa,33,149,593,505,103,144,30,3,21,87,6,0,69,106,0.285,0.376,0.481,0.857,117,243,9,9,2,8,0
4,SS,Ryan Theriot,28,149,661,580,85,178,19,4,1,38,22,13,73,58,0.307,0.387,0.359,0.745,93,208,19,3,4,1,1
5,3B,Aramis Ramirez,30,149,645,554,97,160,44,1,27,111,2,2,74,94,0.289,0.38,0.518,0.898,127,287,13,11,0,6,7
6,LF,Alfonso Soriano,32,109,503,453,76,127,27,0,29,75,19,3,43,103,0.28,0.344,0.532,0.876,120,241,9,3,0,4,11
7,CF,Jim Edmonds*,38,85,298,250,47,64,17,2,19,49,0,1,45,58,0.256,0.369,0.568,0.937,135,142,7,1,0,2,2
8,RF,Kosuke Fukudome*,31,150,590,501,79,129,25,3,10,58,12,4,81,104,0.257,0.359,0.379,0.738,89,190,7,1,2,5,9
9,CF,Reed Johnson,31,109,374,333,52,101,21,0,6,50,5,6,19,68,0.303,0.358,0.42,0.778,98,140,3,12,5,5,1
10,2B,Mike Fontenot*,28,119,284,243,42,74,22,1,9,40,2,0,34,51,0.305,0.395,0.514,0.909,131,125,1,3,3,1,2
11,MI,Ronny Cedeno,25,99,236,216,36,58,12,0,2,28,4,1,18,41,0.269,0.328,0.352,0.68,74,76,6,1,1,0,2
12,C,Henry Blanco,36,58,128,120,15,35,3,0,3,12,0,0,6,22,0.292,0.325,0.392,0.717,83,47,4,0,2,0,1
13,UT,Daryle Ward*,33,89,119,102,8,22,7,0,4,17,0,0,16,24,0.216,0.319,0.402,0.721,83,41,4,0,0,1,3
14,CF,Felix Pie*,23,43,93,83,9,20,2,1,1,10,3,0,7,29,0.241,0.312,0.325,0.637,64,27,3,2,0,1,0
15,UT,Micah Hoffpauir*,28,33,80,73,14,25,8,0,2,8,1,0,6,24,0.342,0.4,0.534,0.934,136,39,0,1,0,0,0
16,UT,Eric Patterson*,25,13,44,38,5,9,1,0,1,7,2,1,5,12,0.237,0.318,0.342,0.66,69,13,1,0,0,1,0
17,OF,Matt Murton,26,19,42,40,2,10,2,0,0,6,0,0,1,5,0.25,0.286,0.3,0.586,50,12,2,1,0,0,0
18,3B,Casey McGehee,25,9,25,24,1,4,1,0,0,5,0,0,0,8,0.167,0.16,0.208,0.368,-7,5,1,0,0,1,0
19,C,Koyie Hill#,29,10,22,21,0,2,1,0,0,1,0,0,0,12,0.095,0.095,0.143,0.238,-40,3,0,0,1,0,0
20,P,Carlos Zambrano#,27,37,85,83,9,28,4,1,4,14,0,0,0,24,0.337,0.337,0.554,0.892,123,46,4,0,2,0,0
21,P,Ryan Dempster,31,31,82,61,4,10,2,0,0,2,0,0,2,19,0.164,0.19,0.197,0.387,-1,12,1,0,19,0,0
22,P,Ted Lilly*,32,33,75,62,2,11,2,0,0,5,1,0,1,29,0.177,0.19,0.21,0.4,2,13,0,0,12,0,0
23,P,Jason Marquis*,29,38,66,59,8,12,3,0,2,10,0,0,3,17,0.203,0.242,0.356,0.598,50,21,0,0,4,0,0
24,P,Rich Harden*,26,12,26,23,1,2,0,0,0,1,0,0,0,12,0.087,0.087,0.087,0.174,-55,2,1,0,3,0,0
25,P,Sean Marshall*,25,33,15,15,0,5,0,0,0,1,0,0,0,7,0.333,0.333,0.333,0.667,72,5,1,0,0,0,0
26,P,Sean Gallagher,22,9,13,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,-100,0,0,0,3,0,0
27,P,Rich Hill*,28,5,7,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
28,P,Jon Lieber*,38,24,6,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,1,0,0
29,P,Kevin Hart,25,21,5,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
30,P,Carlos Marmol,25,78,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,1,0,0
31,P,Bob Howry*,34,69,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
32,P,Michael Wuertz,29,40,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
33,P,Neal Cotts*,28,44,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
34,P,Jeff Samardzija,23,26,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
35,P,Carmen Pignatiello,25,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Kerry Wood,31,64,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Angel Guzman,26,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Randy Wells,25,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Scott Eyre*,36,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Jose Ascanio,23,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Chad Fox,37,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Chad Gaudin,25,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,30.2,161,6384,5588,855,1552,329,21,184,811,87,34,636,1186,0.278,0.354,0.443,0.797,103,2475,134,50,65,45,48
,,Rank in 16 NL teams,,,,5,1,2,1,15,5,,8,8,1,11,2,1,1,1,,1,,9,,5,
,,Non-Pitcher Totals,30.3,161,5998,5253,830,1484,318,20,178,778,86,34,630,1059,0.283,0.362,0.452,0.814,107,2376,127,50,20,45,48
,,Pitcher Totals,28.9,161,386,335,25,68,11,1,6,33,1,0,6,127,0.203,0.217,0.296,0.513,30,99,7,0,45,0,0
